,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
234,West Virginia University Institute of Technology,139,1983,,Sedale Threatt,,,
235,Pepperdine University,152,1983,,Dane Suttle,,,
236,University of Houston,1,1984,,Hakeem Olajuwon,,,
237,University of Kentucky,2,1984,,Sam Bowie,,,
238,University of North Carolina,3,1984,,Michael Jordan,,,
239,University of North Carolina,4,1984,,Sam Perkins,,,
240,Auburn University,5,1984,,Charles Barkley,,,
241,University of Kentucky,6,1984,,Melvin Turpin,,,
242,University of Arkansas,7,1984,,Alvin Robertson,,,
243,University of Louisville,8,1984,,Lancaster Gordon,,,
244,Providence College,9,1984,,Otis Thorpe,,,
245,"California State University, Fullerton",10,1984,,Leon Wood,,,
246,Michigan State University,11,1984,,Kevin Willis,,,
247,University of Michigan,12,1984,,Tim McCormick,,,
248,University of Colorado,13,1984,,Jay Humphries,,,
249,San Diego State University,14,1984,,Michael Cage,,,
250,Temple University,15,1984,,Terence Stansbury,,,
251,Gonzaga University,16,1984,,John Stockton,,,
252,Vanderbilt University,17,1984,,Jeff Turner,,,
253,University of Georgia,18,1984,,Vern Fleming,,,
254,"California State University, Fresno",19,1984,,Bernard Thompson,,,
255,Ohio State University,20,1984,,Tony Campbell,,,
256,"University of California, Los Angeles",21,1984,,Kenny Fields,,,
257,Lamar University,22,1984,,Tom Sewell,,,
258,University of the District of Columbia,23,1984,,Earl Jones,,,
259,University of Houston,24,1984,,Michael Young,,,
260,Brigham Young University,25,1984,,Devin Durrant,,,
261,"California State University, Fresno",27,1984,,Ron Anderson,,,
262,University of Wisconsin,28,1984,,Cory Blackwell,,,
263,"University of California, Los Angeles",29,1984,,Stuart Gray,,,
264,Iona College,30,1984,,Steve Burtt,,,
265,Boston College,31,1984,,Jay Murphy,,,
266,New Mexico State University,33,1984,,Steve Colter,,,
267,University of Virginia,35,1984,,Othell Wilson,,,
268,University of Louisville,36,1984,,Charles Jones,,,
269,University of Maryland,37,1984,,Ben Coleman,,,
270,Oregon State University,38,1984,,Charlie Sitton,,,
271,Wake Forest University,39,1984,,Danny Young,,,
272,University of Notre Dame,41,1984,,Tom Sluby,,,
273,University of Tennessee at Chattanooga,42,1984,,Willie White,,,
274,Boston University,45,1984,,Gary Plummer,,,
275,Longwood University,46,1984,,Jerome Kersey,,,
276,"University of California, Irvine",50,1984,,Ben McDonald,,,
277,University of Minnesota,51,1984,,Jim Petersen,,,
278,North Carolina Agricultural and Technical State University,57,1984,,Joe Binion,,,
279,University of Maine,61,1984,,Jeff Cross,,,
280,Norfolk State University,62,1984,,David Pope,,,
281,Yale University,68,1984,,Butch Graves,,,
282,University of Virginia,70,1984,,Rick Carlisle,,,
283,"University of California, Los Angeles",71,1984,,Ralph Jackson,,,
284,University of South Florida,76,1984,,Jim Grandholm,,,
285,University of Kansas,80,1984,,Carl Henry,,,
286,Purdue University,86,1984,,Jim Rowinski,,,
287,"University of California, Irvine",87,1984,,Bob Thornton,,,
288,"California State University, Fullerton",90,1984,,Ozell Jones,,,
289,University of Alabama at Birmingham,120,1984,,McKinley Singleton,,,
290,Gardner-Webb University,133,1984,,Eddie Lee Wilkins,,,
291,University of Virginia,140,1984,,Kenton Edelin,,,
292,Saint Augustine's College,156,1984,,Ken Bannister,,,
293,University of Kansas,185,1984,,Brian Martin,,,
294,Georgetown University,1,1985,,Patrick Ewing,,,
295,University of Oklahoma,2,1985,,Wayman Tisdale,,,
296,Creighton University,3,1985,,Benoit Benjamin,,,
297,Wichita State University,4,1985,,Xavier McDaniel,,,
298,Southern Methodist University,5,1985,,Jon Koncak,,,
299,University of Arkansas,6,1985,,Joe Kleine,,,
300,St. John's University,7,1985,,Chris Mullin,,,
301,University of Washington,8,1985,,Detlef Schrempf,,,
302,Virginia Union University,9,1985,,Charles Oakley,,,
303,Villanova University,10,1985,,Ed Pinckney,,,
304,University of Memphis,11,1985,,Keith Lee,,,
305,Wake Forest University,12,1985,,Kenny Green,,,
306,Louisiana Tech University,13,1985,,Karl Malone,,,
307,Loyola University of Chicago,14,1985,,Alfredrick Hughes,,,
308,University of Oregon,15,1985,,Blair Rasmussen,,,
309,St. John's University,16,1985,,Bill Wennington,,,
310,Indiana University,17,1985,,Uwe Blab,,,
311,McNeese State University,18,1985,,Joe Dumars,,,
312,University of Tulsa,19,1985,,Steve Harris,,,
313,Michigan State University,20,1985,,Sam Vincent,,,
314,University of South Alabama,21,1985,,Terry Catledge,,,
315,Louisiana State University,22,1985,,Jerry Reynolds,,,
316,Oregon State University,23,1985,,A.C. Green,,,
317,University of Wisconsin-Stevens Point,24,1985,,Terry Porter,,,
318,Canisius College,25,1985,,Mike Smrek,,,
319,Georgetown University,26,1985,,Bill Martin,,,
320,Villanova University,27,1985,,Dwayne McClain,,,
321,Michigan State University,28,1985,,Ken Johnson,,,
322,University of South Carolina,29,1985,,Mike Brittain,,,
323,University of Bridgeport,31,1985,,Manute Bol,,,
324,Santa Clara University,32,1985,,Nick Vanos,,,
325,University of Iowa,33,1985,,Greg Stokes,,,
326,DePaul University,35,1985,,Tyrone Corbin,,,
327,Georgia Institute of Technology,36,1985,,Yvon Joseph,,,
328,Long Island University,37,1985,,Carey Scurry,,,
329,Oral Roberts University,40,1985,,Mark Acres,,,
330,North Carolina State University,41,1985,,Lorenzo Charles,,,
331,Iowa State University,43,1985,,Barry Stevens,,,
332,Bradley University,44,1985,,Voise Winters,,,
333,Tulane University,45,1985,,Hot Rod Williams,,,
334,University of Maryland,46,1985,,Adrian Branch,,,
335,University of Tennessee at Chattanooga,47,1985,,Gerald Wilkins,,,
336,"University of California, Los Angeles",49,1985,,Brad Wright,,,
337,Mercer University,54,1985,,Sam Mitchell,,,
338,University of Dayton,59,1985,,Sedric Toney,,,
339,Virginia Polytechnic Institute and State University,61,1985,,Perry Young,,,
340,Santa Clara University,63,1985,,Harold Keeling,,,
341,Boston College,66,1985,,Michael Adams,,,
342,George Washington University,69,1985,,Mike Brown,,,
343,Eastern Michigan University,73,1985,,Fred Cofield,,,
344,University of Colorado,75,1985,,Alex Stivrins,,,
345,Old Dominion University,79,1985,,Mark Davis,,,
346,University of Wisconsin,82,1985,,Scott Roth,,,
347,Wake Forest University,83,1985,,Delaney Rudd,,,
348,Rutgers University,84,1985,,John Battle,,,
349,North Carolina State University,87,1985,,Spud Webb,,,
350,University of Arizona,89,1985,,Pete Williams,,,
351,University of Texas at San Antonio,90,1985,,Derrick Gervin,,,
352,North Carolina State University,91,1985,,Cozell McQueen,,,
353,University of South Alabama,92,1985,,Dexter Shouse,,,
354,La Salle University,139,1985,,Ralph Lewis,,,
355,Alcorn State University,144,1985,,Michael Phelps,,,
356,American International College,160,1985,,Mario Elie,,,
357,University of North Carolina,1,1986,,Brad Daugherty,,,
358,North Carolina State University,3,1986,,Chris Washburn,,,
359,Auburn University,4,1986,,Chuck Person,,,
360,University of Kentucky,5,1986,,Kenny Walker,,,
361,University of Memphis,6,1986,,William Bedford,,,
362,University of Michigan,7,1986,,Roy Tarpley,,,
363,Miami University,8,1986,,Ron Harper,,,
364,Ohio State University,9,1986,,Brad Sellers,,,
365,Duke University,10,1986,,Johnny Dawkins,,,
366,Georgia Institute of Technology,11,1986,,John Salley,,,
367,Louisiana State University,12,1986,,John Williams,,,
368,Syracuse University,13,1986,,Pearl Washington,,,
369,St. John's University,14,1986,,Walter Berry,,,
370,Virginia Polytechnic Institute and State University,15,1986,,Dell Curry,,,
371,Saint Joseph's University,16,1986,,Maurice Martin,,,
372,Villanova University,17,1986,,Harold Pressley,,,
373,Duke University,18,1986,,Mark Alarie,,,
374,University of Louisville,19,1986,,Billy Thompson,,,
375,University of Alabama,20,1986,,Buck Johnson,,,
376,"University of Nevada, Las Vegas",21,1986,,Anthony Jones,,,
377,Michigan State University,22,1986,,Scott Skiles,,,
378,Georgia Institute of Technology,25,1986,,Mark Price,,,
379,University of Kansas,26,1986,,Greg Dreiling,,,
380,Southeastern Oklahoma State University,27,1986,,Dennis Rodman,,,
