,college,name,draft_rank,draft_year
167,Syracuse University,Jason Hart,49,2000
168,University of Idaho,Kaniel Dickens,50,2000
169,Indian Hills Community College,Ernest Brown,52,2000
170,Northern Arizona University,Dan McClintock,53,2000
171,Auburn University,Chris Porter,55,2000
172,Michigan State University,Jason Richardson,5,2001
173,Duke University,Shane Battier,6,2001
174,Seton Hall University,Eddie Griffin,7,2001
175,University of North Carolina at Charlotte,Rodney White,9,2001
176,University of Arkansas,Joe Johnson,10,2001
177,Okaloosa-Walton Community College,Kedrick Brown,11,2001
178,University of Arizona,Richard Jefferson,13,2001
179,University of Notre Dame,Troy Murphy,14,2001
180,DePaul University,Steven Hunter,15,2001
181,Indiana University,Kirk Haston,16,2001
182,Villanova University,Michael Bradley,17,2001
183,Stanford University,Jason Collins,18,2001
184,Michigan State University,Zach Randolph,19,2001
185,University of North Carolina,Brendan Haywood,20,2001
186,University of North Carolina,Joseph Forte,21,2001
187,Southern Methodist University,Jeryl Sasser,22,2001
188,Pepperdine University,Brandon Armstrong,23,2001
189,University of Alabama,Gerald Wallace,25,2001
190,Seton Hall University,Samuel Dalembert,26,2001
191,Iowa State University,Jamaal Tinsley,27,2001
192,Austin Peay State University,Trenton Hassell,29,2001
193,University of Arizona,Gilbert Arenas,30,2001
194,St. John's University,Omar Cook,31,2001
195,Clemson University,Will Solomon,32,2001
196,University of Maryland,Terence Morris,33,2001
197,University of Southern California,Brian Scalabrine,34,2001
198,University of Southern California,Jeff Trepagnier,35,2001
199,Syracuse University,Damone Brown,36,2001
200,"University of California, Los Angeles",Earl Watson,39,2001
201,Auburn University,Jamison Brewer,40,2001
202,DePaul University,Bobby Simmons,41,2001
203,University of California,Sean Lampley,44,2001
204,University of Arizona,Loren Woods,45,2001
205,Ohio State University,Ken Johnson,48,2001
206,Georgetown University,Ruben Boumtje-Boumtje,49,2001
207,University of Houston,Alton Ford,50,2001
208,Stanford University,Jarron Collins,52,2001
209,University of Cincinnati,Kenny Satterfield,53,2001
210,Georgia Institute of Technology,Alvin Jones,56,2001
211,Duke University,Jay Williams,2,2002
212,Duke University,Mike Dunleavy,3,2002
213,University of Kansas,Drew Gooden,4,2002
214,University of Memphis,Dajuan Wagner,6,2002
215,University of Maryland,Chris Wilcox,8,2002
216,University of Connecticut,Caron Butler,10,2002
217,Indiana University,Jared Jeffries,11,2002
218,"California State University, Fresno",Melvin Ely,12,2002
219,University of Tennessee,Marcus Haislip,13,2002
220,University of Oregon,Fred Jones,14,2002
221,University of Maryland,Juan Dixon,17,2002
222,Stanford University,Curtis Borchardt,18,2002
223,University of Notre Dame,Ryan Humphrey,19,2002
224,University of Missouri,Kareem Rush,20,2002
225,Northeast Mississippi Community College,Qyntel Woods,21,2002
226,Stanford University,Casey Jacobsen,22,2002
227,University of Kentucky,Tayshaun Prince,23,2002
228,University of Illinois at Urbana-Champaign,Frank Williams,25,2002
229,University of Miami,John Salmons,26,2002
230,"California State University, Fresno",Chris Jefferies,27,2002
231,Gonzaga University,Dan Dickau,28,2002
232,University of Virginia,Roger Mason,30,2002
233,University of Illinois at Urbana-Champaign,Robert Archibald,31,2002
234,University of Tennessee,Vincent Yarbrough,32,2002
235,"University of California, Los Angeles",Dan Gadzuric,33,2002
236,Duke University,Carlos Boozer,34,2002
237,"California State University, Fresno",Tito Maddox,37,2002
238,Shaw University,Ronald Murray,41,2002
239,University of Maryland,Lonny Baxter,43,2002
240,"University of California, Los Angeles",Matt Barnes,45,2002
241,University of California,Jamal Sampson,46,2002
242,University of Texas at Austin,Chris Owens,47,2002
243,Wake Forest University,Darius Songaila,49,2002
244,La Salle University,Rasual Butler,52,2002
245,Marshall University,Tamar Slay,53,2002
246,San Diego State University,Randy Holcomb,56,2002
247,Central Connecticut State University,Corsley Edwards,57,2002
248,Syracuse University,Carmelo Anthony,3,2003
249,Georgia Institute of Technology,Chris Bosh,4,2003
250,Marquette University,Dwyane Wade,5,2003
251,Central Michigan University,Chris Kaman,6,2003
252,University of Kansas,Kirk Hinrich,7,2003
253,University of Texas at Austin,T.J. Ford,8,2003
254,Georgetown University,Mike Sweetney,9,2003
255,University of Georgia,Jarvis Hayes,10,2003
256,University of Kansas,Nick Collison,12,2003
257,"University of Nevada, Las Vegas",Marcus Banks,13,2003
258,University of Oregon,Luke Ridnour,14,2003
259,University of Louisville,Reece Gaines,15,2003
260,Boston College,Troy Bell,16,2003
261,Xavier University,David West,18,2003
262,Duke University,Dahntay Jones,20,2003
263,University of Illinois at Urbana-Champaign,Brian Cook,24,2003
264,Wake Forest University,Josh Howard,29,2003
265,"University of California, Los Angeles",Jason Kapono,31,2003
266,University of Arizona,Luke Walton,32,2003
267,University of North Dakota,Jerome Beasley,33,2003
268,Mississippi State University,Mario Austin,36,2003
269,Brigham Young University,Travis Hansen,37,2003
270,University of Maryland,Steve Blake,38,2003
271,Mississippi State University,Derrick Zimmerman,40,2003
272,University of Detroit Mercy,Willie Green,41,2003
273,University of Kentucky,Keith Bogans,43,2003
274,University of Florida,Matt Bonner,45,2003
275,University of Alabama,Mo Williams,47,2003
276,University of Miami,James Jones,49,2003
277,Creighton University,Kyle Korver,51,2003
278,Ohio University,Brandon Hunter,56,2003
279,University of Connecticut,Emeka Okafor,2,2004
280,University of Connecticut,Ben Gordon,3,2004
281,University of Wisconsin,Devin Harris,5,2004
282,Stanford University,Josh Childress,6,2004
283,Duke University,Luol Deng,7,2004
284,Brigham Young University,Rafael Araujo,8,2004
285,University of Arizona,Andre Iguodala,9,2004
286,University of Oregon,Luke Jackson,10,2004
287,University of Minnesota,Kris Humphries,14,2004
288,"University of Nevada, Reno",Kirk Snyder,16,2004
289,Saint Joseph's University,Jameer Nelson,20,2004
290,Saint Joseph's University,Delonte West,24,2004
291,Oklahoma State University,Tony Allen,25,2004
292,Western Carolina University,Kevin Martin,26,2004
293,University of Colorado,David Harrison,29,2004
294,Iowa State University,Jackson Vroman,31,2004
295,Xavier University,Lionel Chalmers,33,2004
296,Southeastern Illinois College,Donta Smith,34,2004
297,Texas Tech University,Andre Emmett,35,2004
298,University of Memphis,Antonio Burks,36,2004
299,University of Texas at Austin,Royal Ivey,37,2004
300,Duke University,Chris Duhon,38,2004
301,University of Mississippi,Justin Reed,40,2004
302,"University of California, Los Angeles",Trevor Ariza,43,2004
303,University of Michigan,Bernard Robinson,45,2004
