,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,height_in,weight_lb
244,Kevin Willis,15.7,3.0,19,21,79,2121,353,666,0,1,92,159,,17,42,71,83,235,798,.530,.000,.579,26.8,10.1,7.1,0.2,84.0,220.0
245,Tim McCormick,12.8,3.0,18,21,90,1484,307,552,,,280,380,,,24,48,141,265,894,.556,,.737,23.9,9.9,5.3,,83.0,240.0
246,Jay Humphries,13.9,4.0,18,21,112,3864,527,1058,,,252,362,,562,309,20,286,350,1306,.498,,.696,34.5,11.7,2.8,5.0,75.0,185.0
247,Michael Cage,13.9,4.0,19,22,112,4262,679,1238,,,488,667,,98,126,118,233,206,1846,.548,,.732,38.1,16.5,11.8,0.9,81.0,224.0
248,Terence Stansbury,9.9,4.0,19,22,115,1216,669,1466,,,424,558,,,,,,,1811,.456,,.760,39.2,15.7,3.4,,77.0,170.0
249,John Stockton,21.8,4.0,18,21,107,3378,514,919,,,312,434,,554,262,14,296,255,1340,.559,,.719,31.6,12.5,2.2,5.2,73.0,170.0
250,Jeff Turner,8.4,4.0,18,21,117,3319,519,1026,,,233,302,,142,64,23,239,380,1271,.506,,.772,28.4,10.9,5.3,1.2,81.0,230.0
251,Vern Fleming,15.1,4.0,18,21,125,4321,700,1378,,,377,535,,400,205,15,316,326,1777,.508,,.705,34.6,14.2,3.8,3.2,77.0,185.0
252,Bernard Thompson,10.2,4.0,18,21,121,3458,537,931,,,378,501,,,151,43,191,321,1452,.577,,.754,28.6,12.0,4.6,,78.0,210.0
253,Tony Campbell,14.5,4.0,18,21,104,3258,589,1223,0,2,351,440,,103,116,36,287,307,1529,.482,.000,.798,31.3,14.7,6.0,1.0,79.0,215.0
254,Kenny Fields,11.7,4.0,18,21,109,3396,686,1260,,,266,395,,,129,57,173,262,1638,.544,,.673,31.2,15.0,6.1,,77.0,220.0
255,Tom Sewell,-2.7,3.0,19,21,89,2633,627,1185,,,242,311,,,122,4,80,62,1496,.529,,.778,29.6,16.8,3.5,,77.0,185.0
256,Earl Jones,0.2,4.0,20,23,109,,951,1758,,,654,843,,244,38,205,,362,2556,.541,,.776,,23.4,10.7,2.2,84.0,210.0
257,Michael Young,15.5,4.0,20,23,134,4498,900,1833,,,243,385,,,215,54,216,308,2043,.491,,.631,33.6,15.2,5.9,,79.0,220.0
258,Devin Durrant,8.6,4.0,18,23,117,2725,832,1527,,,621,820,,,57,40,264,244,2285,.545,,.757,31.7,19.5,5.5,,79.0,200.0
259,Ron Anderson,14.3,2.0,24,25,68,2500,483,863,,,186,232,,,103,33,143,167,1152,.560,,.802,36.8,16.9,5.9,,79.0,215.0
260,Cory Blackwell,6.4,3.0,18,20,83,2909,563,1234,,,278,397,,,101,17,222,199,1405,.456,,.700,35.0,16.9,7.1,,78.0,210.0
261,Stuart Gray,8.6,3.0,18,20,78,2019,242,422,,,101,179,,,21,62,102,210,585,.573,,.564,25.9,7.5,6.5,,84.0,235.0
262,Steve Burtt,10.4,4.0,18,21,121,4152,1003,1923,,,528,727,,,211,75,414,337,2534,.522,,.726,34.3,20.9,3.5,,74.0,185.0
263,Jay Murphy,6.7,4.0,18,21,123,3326,685,1383,,,425,573,,,96,49,195,292,1795,.495,,.742,27.0,14.6,6.2,,81.0,220.0
264,Steve Colter,12.9,4.0,18,21,107,3254,497,1008,2,6,337,445,,,107,45,254,203,1333,.493,.333,.757,30.4,12.5,3.8,,75.0,165.0
265,Othell Wilson,11.3,4.0,19,22,127,3647,571,1118,,,298,406,,,222,14,299,295,1469,.511,,.734,28.7,11.6,3.0,,72.0,190.0
266,Charles Jones,12.2,4.0,19,22,129,3389,407,730,,,310,513,,36,40,82,67,96,1124,.558,,.604,26.3,8.7,6.3,1.0,80.0,215.0
267,Ben Coleman,12.3,4.0,18,22,102,2127,475,866,,,219,325,,128,56,95,167,288,1169,.548,,.674,26.9,11.5,6.4,1.3,81.0,235.0
268,Charlie Sitton,8.0,4.0,18,21,117,3554,582,1013,,,397,516,,,,,,,1561,.575,,.769,30.4,13.3,4.3,,80.0,210.0
269,Danny Young,12.2,4.0,18,21,122,3479,455,958,27,73,233,329,,493,194,23,207,231,1170,.475,.370,.708,28.5,9.6,1.9,4.0,75.0,175.0
270,Tom Sluby,12.2,4.0,18,21,98,2327,382,771,,,160,246,,,61,22,,232,924,.495,,.650,23.7,9.4,2.0,,76.0,200.0
271,Willie White,13.2,4.0,18,21,122,1127,797,1566,,,320,385,,,197,22,300,254,1972,.509,,.831,36.4,16.2,4.1,,75.0,195.0
272,Gary Plummer,8.1,4.0,18,21,90,2205,442,908,,,245,322,,,74,70,168,278,1129,.487,,.761,24.5,12.5,6.7,,81.0,215.0
273,Jerome Kersey,14.9,4.0,18,21,103,,720,1263,,,316,521,,266,255,142,302,338,1756,.570,,.607,,17.0,11.3,2.6,79.0,215.0
274,Ben McDonald,8.3,4.0,18,21,114,3865,639,1221,,,234,341,,,99,11,310,340,1512,.523,,.686,33.9,13.3,5.9,,80.0,210.0
275,Jim Petersen,11.0,4.0,18,21,96,,234,407,,,72,108,,,28,73,150,232,540,.575,,.667,,5.6,4.0,,82.0,235.0
276,Joe Binion,12.0,4.0,19,22,116,,837,1666,,,469,704,,,,,,,2143,.502,,.666,,18.5,10.3,,80.0,235.0
277,Jeff Cross,1.5,4.0,19,22,100,,489,933,,,359,558,,,41,205,160,300,1337,.524,,.643,,13.4,8.9,,82.0,240.0
278,David Pope,4.7,4.0,18,21,113,3902,950,1801,,,436,587,,,,,,,2336,.527,,.743,34.5,20.7,10.4,,79.0,220.0
279,Butch Graves,-0.8,4.0,19,22,103,3668,816,1635,,,459,679,,,40,9,106,330,2091,.499,,.676,35.6,20.3,5.1,,75.0,200.0
280,Rick Carlisle,7.0,4.0,20,24,123,1924,598,1124,,,339,423,,,35,8,97,267,1543,.532,,.801,28.7,12.5,3.3,,77.0,210.0
281,Ralph Jackson,15.6,4.0,18,21,111,3502,369,777,,,190,279,,,145,26,261,234,928,.475,,.681,31.5,8.4,2.6,,74.0,190.0
282,Jim Grandholm,16.5,4.0,19,23,114,3013,401,825,5,16,264,357,,,67,91,141,309,1071,.486,.313,.739,26.4,9.4,6.6,,84.0,235.0
283,Carl Henry,12.5,4.0,19,23,118,3223,751,1439,,,384,539,,,,,,,1886,.522,,.712,35.8,16.0,7.5,,78.0,205.0
284,Jim Rowinski,13.8,4.0,20,23,65,1405,202,393,,,138,205,,,22,1,74,105,542,.514,,.673,21.6,8.3,4.4,,80.0,250.0
285,Bob Thornton,6.2,3.0,19,21,85,1908,320,540,,,173,280,,84,42,22,151,219,813,.593,,.618,22.4,9.6,5.8,1.0,82.0,225.0
286,Ozell Jones,11.1,4.0,19,23,115,2867,448,898,,,146,282,,,62,89,227,363,1042,.499,,.518,24.9,9.1,7.2,,83.0,235.0
287,McKinley Singleton,13.3,2.0,21,22,62,1548,283,645,,,88,116,,,64,5,75,108,655,.439,,.759,25.0,10.6,2.6,,77.0,175.0
288,Eddie Lee Wilkins,10.2,4.0,18,21,126,,892,1485,,,577,867,,,,,,,2361,.601,,.666,,18.7,8.8,,82.0,220.0
289,Kenton Edelin,3.3,3.0,19,21,97,1710,126,201,,,66,140,,,51,62,98,277,318,.627,,.471,17.6,3.3,4.6,,80.0,205.0
290,Ken Bannister,8.9,2.0,21,23,48,786,295,560,,,133,234,,,25,63,,102,723,.527,,.568,29.1,15.1,9.4,,81.0,235.0
291,Brian Martin,-1.6,3.0,19,21,84,1390,141,278,,,69,118,,,26,83,29,218,351,.507,,.585,16.5,4.2,3.6,,81.0,212.0
292,Patrick Ewing,21.0,4.0,19,22,143,4399,857,1382,,,470,740,,128,167,493,326,436,2184,.620,,.635,30.8,15.3,9.2,0.9,84.0,240.0
293,Wayman Tisdale,15.7,3.0,18,20,104,3653,1077,1862,,,507,767,,97,92,209,214,312,2661,.578,,.661,35.1,25.6,10.1,0.9,81.0,240.0
294,Benoit Benjamin,14.8,3.0,18,20,89,3176,610,1085,,,355,493,,151,60,411,239,264,1575,.562,,.720,35.7,17.7,11.3,1.7,84.0,250.0
295,Xavier McDaniel,16.1,4.0,18,21,117,3638,893,1584,,,366,587,,197,114,103,300,351,2152,.564,,.624,31.1,18.4,11.6,1.7,79.0,205.0
296,Jon Koncak,9.8,4.0,18,21,123,3971,713,1276,,,358,552,,173,74,278,273,426,1784,.559,,.649,32.3,14.5,9.5,1.4,84.0,250.0
297,Joe Kleine,10.5,4.0,19,23,126,3703,700,1192,,,429,593,,77,89,51,266,327,1829,.587,,.723,29.4,14.5,7.0,0.6,83.0,255.0
298,Chris Mullin,18.8,4.0,18,21,125,4668,879,1599,,,682,804,,453,211,42,381,279,2440,.550,,.848,37.3,19.5,4.1,3.6,78.0,200.0
299,Detlef Schrempf,17.2,4.0,19,22,122,3638,543,1043,,,363,513,,284,69,42,303,353,1449,.521,,.708,29.8,11.9,6.2,2.3,81.0,214.0
300,Charles Oakley,13.4,4.0,18,21,117,,928,1523,,,523,834,,94,,32,,,2379,.609,,.627,,20.3,14.0,1.6,80.0,225.0
301,Ed Pinckney,14.8,4.0,18,21,129,4366,637,1054,,,591,817,,226,196,253,304,382,1865,.604,,.723,33.8,14.5,8.6,1.8,81.0,195.0
302,Keith Lee,12.2,4.0,19,22,128,4430,930,1797,,,548,701,,,108,320,368,416,2408,.518,,.782,34.6,18.8,10.4,,82.0,215.0
303,Kenny Green,8.1,3.0,18,20,84,2543,524,965,,,204,308,,,53,89,160,216,1252,.543,,.662,30.3,14.9,6.6,,78.0,210.0
304,Karl Malone,23.9,3.0,19,21,92,2831,653,1154,,,410,650,,125,151,59,269,329,1716,.566,,.631,30.8,18.7,9.3,1.4,81.0,250.0
305,Alfredrick Hughes,8.2,4.0,19,22,120,4459,1226,2660,,,462,701,,106,128,49,331,336,2914,.461,,.659,37.2,24.3,8.2,0.9,77.0,215.0
306,Blair Rasmussen,13.3,4.0,19,22,114,3438,618,1195,,,318,432,,105,40,116,229,385,1554,.517,,.736,30.2,13.6,5.9,0.9,84.0,250.0
307,Bill Wennington,10.9,4.0,18,21,124,2995,398,687,,,225,305,,100,54,151,149,379,1021,.579,,.738,24.2,8.2,5.2,0.8,84.0,245.0
308,Uwe Blab,6.6,4.0,19,22,118,,545,1003,,,267,418,,,43,196,222,323,1357,.543,,.639,,11.5,5.4,,85.0,252.0
309,Joe Dumars,15.3,4.0,18,21,116,,942,2038,5,8,723,917,,330,188,17,333,297,2612,.462,.625,.788,,22.5,4.2,2.8,75.0,190.0
310,Steve Harris,13.3,4.0,18,21,122,3818,904,1649,,,460,543,,,271,28,264,236,2272,.548,,.847,31.3,18.6,3.5,,77.0,195.0
311,Sam Vincent,14.1,4.0,18,21,110,3864,685,1394,5,11,476,593,,,159,18,281,298,1851,.491,.455,.803,35.1,16.8,3.0,,74.0,185.0
312,Terry Catledge,14.1,3.0,19,21,86,2981,721,1296,,,424,640,,,94,56,184,185,1866,.556,,.663,34.7,21.7,10.8,,80.0,220.0
313,Jerry Reynolds,15.0,3.0,20,22,90,2590,416,798,,,237,407,,,194,53,172,258,1069,.521,,.582,28.8,11.9,6.8,,80.0,200.0
314,A.C. Green,14.4,4.0,18,21,115,4052,612,1017,,,470,675,,185,123,38,287,265,1694,.602,,.696,35.2,14.7,7.7,1.6,81.0,220.0
315,Terry Porter,17.2,4.0,18,21,117,3304,638,1083,,,309,388,,440,171,31,208,244,1585,.589,,.796,28.2,13.5,3.8,3.8,75.0,195.0
316,Mike Smrek,7.4,4.0,19,22,108,2512,398,688,,,187,310,,,32,172,230,338,983,.578,,.603,23.3,9.1,5.2,,84.0,250.0
317,Bill Martin,10.4,4.0,19,22,142,3332,508,979,,,293,425,,,106,36,210,283,1309,.519,,.689,23.5,9.2,5.2,,79.0,205.0
318,Dwayne McClain,8.3,4.0,18,21,125,3659,643,1119,,,258,349,,,133,50,256,338,1544,.575,,.739,29.3,12.4,3.5,,78.0,185.0
319,Ken Johnson,9.3,4.0,19,22,76,1495,305,573,,,121,227,,,18,96,91,117,731,.532,,.533,31.1,9.6,8.5,,80.0,240.0
320,Mike Brittain,4.7,4.0,18,21,109,2096,294,658,,,176,251,,,22,160,172,308,764,.447,,.701,19.2,7.0,4.6,,84.0,235.0
321,Manute Bol,9.4,1.0,22,22,31,,303,496,,,91,153,,42,8,219,58,72,697,.611,,.595,,22.5,13.5,1.4,91.0,200.0
322,Nick Vanos,7.7,4.0,18,21,113,2796,556,1091,,,287,480,,,56,159,219,280,1399,.510,,.598,24.7,12.4,7.8,,85.0,255.0
323,Greg Stokes,9.0,4.0,18,21,120,2161,705,1294,,,358,554,,,112,229,244,343,1768,.545,,.646,36.0,14.7,6.7,,82.0,220.0
324,Tyrone Corbin,13.1,4.0,19,22,120,3736,522,1036,,,334,437,,227,135,57,281,335,1378,.504,,.764,31.1,11.5,7.4,1.9,78.0,210.0
325,Yvon Joseph,12.8,3.0,25,27,65,1934,288,525,,,182,257,,,37,17,159,187,758,.549,,.708,29.8,11.7,6.9,,83.0,245.0
326,Carey Scurry,14.1,3.0,20,22,79,,549,1021,,,315,444,,,202,291,,,1413,.538,,.709,,17.9,12.8,,79.0,188.0
327,Mark Acres,9.0,4.0,19,22,110,2637,799,1416,,,440,632,,,150,164,283,395,2038,.564,,.696,33.4,18.5,9.6,,83.0,220.0
328,Lorenzo Charles,11.5,4.0,18,21,126,2260,583,1055,,,369,525,,,46,66,171,251,1535,.553,,.703,34.2,12.2,5.8,,79.0,225.0
329,Barry Stevens,15.2,4.0,19,22,117,3954,880,1847,,,430,555,,,132,10,281,304,2189,.476,,.775,33.8,18.7,4.6,,77.0,195.0
330,Voise Winters,-5.6,4.0,19,22,120,3076,731,1463,,,246,345,,,16,42,54,267,1714,.500,,.713,35.8,14.3,5.7,,80.0,200.0
331,Hot Rod Williams,15.6,4.0,19,22,115,3972,705,1285,,,431,590,,198,105,192,267,274,1841,.549,,.731,34.5,16.0,7.0,1.7,83.0,215.0
332,Adrian Branch,15.1,4.0,18,21,123,4179,767,1579,,,454,607,,,110,50,348,372,2017,.486,,.748,34.0,16.4,4.4,,79.0,185.0
333,Gerald Wilkins,13.0,3.0,19,21,85,2745,606,1179,3,12,234,357,,140,123,21,212,181,1449,.514,.250,.655,32.3,17.0,4.1,1.6,78.0,185.0
334,Brad Wright,9.5,4.0,19,22,99,1677,209,399,,,140,227,,,38,74,102,214,558,.524,,.617,16.9,5.6,4.7,,83.0,225.0
335,Sam Mitchell,12.6,4.0,18,21,112,3056,768,1500,,,450,590,,149,120,87,211,308,1986,.512,,.763,36.0,17.7,6.3,1.3,78.0,210.0
336,Sedric Toney,7.8,2.0,21,22,59,1797,280,569,,,162,223,,,54,4,154,192,722,.492,,.726,30.5,12.2,2.7,,74.0,178.0
337,Perry Young,3.0,4.0,18,21,129,4123,722,1396,,,455,660,,,143,37,296,372,1899,.517,,.689,32.0,14.7,6.0,,77.0,210.0
338,Harold Keeling,16.1,4.0,18,21,114,3314,675,1361,,,381,543,,,263,49,248,218,1731,.496,,.702,29.1,15.2,4.1,,76.0,185.0
339,Michael Adams,16.6,4.0,19,22,119,3524,634,1350,,,382,509,,475,275,12,335,241,1650,.470,,.750,29.6,13.9,2.7,4.0,70.0,162.0
340,Mike Brown,9.7,4.0,18,21,111,3970,710,1395,,,496,759,,174,100,98,104,325,1916,.509,,.653,35.8,17.3,10.5,1.6,81.0,257.0
341,Fred Cofield,7.7,4.0,19,23,106,3746,656,1394,,,249,311,,,129,3,154,302,1561,.471,,.801,35.3,14.7,2.5,,75.0,190.0
342,Alex Stivrins,10.5,4.0,18,22,111,2699,487,960,,,211,368,,,142,86,290,299,1185,.507,,.573,33.3,10.7,8.0,,80.0,220.0
343,Mark Davis,15.0,4.0,18,21,110,2565,425,848,,,187,249,,,85,20,169,240,1039,.501,,.751,23.3,9.4,3.5,,78.0,195.0
344,Scott Roth,10.3,4.0,18,21,109,2940,455,927,,,246,330,,,98,4,208,227,1157,.491,,.745,27.0,10.6,2.8,,80.0,212.0
345,Delaney Rudd,9.8,4.0,19,22,114,3165,561,1134,13,29,194,241,,,93,5,182,264,1329,.495,.448,.805,27.8,11.7,1.7,,74.0,180.0
346,John Battle,13.7,4.0,19,22,114,2647,535,1096,26,76,289,409,,,65,11,,202,1385,.488,.342,.707,23.2,12.1,2.4,,74.0,175.0
347,Spud Webb,15.1,4.0,18,21,139,1899,741,1548,,,508,657,,999,127,12,162,174,1990,.479,,.773,28.8,14.3,2.2,7.2,66.0,133.0
348,Pete Williams,11.4,2.0,18,19,59,1997,296,489,,,201,334,,,65,41,112,175,793,.605,,.602,33.8,13.4,9.2,,79.0,190.0
349,Derrick Gervin,16.3,3.0,19,21,80,,651,1189,,,389,499,,,75,65,188,249,1691,.548,,.780,,21.1,8.6,,80.0,200.0
350,Cozell McQueen,58.3,4.0,20,23,134,2185,275,543,,,165,271,,,41,121,150,372,715,.506,,.609,33.1,5.3,6.0,,83.0,235.0
351,Dexter Shouse,-6.8,2.0,20,21,58,1892,308,646,,,130,163,,,111,25,63,75,746,.477,,.798,32.6,12.9,2.5,,74.0,200.0
352,Ralph Lewis,8.5,4.0,18,21,116,1071,677,1277,,,453,643,,,200,94,167,299,1807,.530,,.705,33.5,15.6,8.3,,78.0,200.0
353,Michael Phelps,8.8,4.0,20,23,114,3130,646,1305,,,372,530,,,,,,,1664,.495,,.702,27.5,14.6,3.7,,76.0,180.0
354,Mario Elie,13.1,4.0,18,21,120,4196,822,1482,,,480,626,,332,186,,,,2124,.555,,.767,35.0,17.7,8.3,2.8,77.0,210.0
355,Brad Daugherty,18.9,4.0,17,20,135,3973,760,1226,0,1,392,560,,214,92,146,290,402,1912,.620,.000,.700,29.4,14.2,7.4,1.6,84.0,245.0
356,Chris Washburn,7.6,2.0,19,20,41,1366,273,496,,,128,202,,,36,38,99,80,674,.550,,.634,33.3,16.4,6.6,,83.0,225.0
357,Chuck Person,13.7,4.0,18,21,126,4133,1017,1899,,,277,366,,174,124,44,269,280,2311,.536,,.757,32.8,18.3,7.5,1.4,80.0,220.0
358,Kenny Walker,11.9,4.0,18,21,132,4079,765,1339,,,550,733,,50,118,122,183,327,2080,.571,,.750,30.9,15.8,7.1,1.4,80.0,210.0
359,William Bedford,9.7,3.0,20,22,93,2821,514,906,,,196,313,,67,32,234,148,234,1224,.567,,.626,30.3,13.2,7.3,0.7,84.0,225.0
360,Roy Tarpley,18.4,4.0,18,21,122,2995,629,1205,,,343,443,,122,103,251,258,321,1601,.522,,.774,31.2,13.1,7.8,1.3,83.0,230.0
361,Ron Harper,15.6,4.0,19,22,120,4164,969,1814,,,439,684,,338,287,175,335,342,2377,.534,,.642,34.7,19.8,9.3,2.8,78.0,185.0
362,Brad Sellers,11.1,4.0,19,23,118,4186,776,1569,0,1,408,517,,156,113,307,294,362,1960,.495,.000,.789,35.5,16.6,9.8,1.3,84.0,210.0
363,Johnny Dawkins,14.7,4.0,19,22,133,4749,1026,2019,19,54,485,614,,555,168,24,414,270,2556,.508,.352,.790,35.7,19.2,4.0,4.2,74.0,165.0
364,John Salley,12.8,4.0,18,21,125,4197,595,1013,,,397,627,,319,97,243,247,397,1587,.587,,.633,33.6,12.7,6.4,2.6,83.0,230.0
365,John Williams,14.6,2.0,18,19,66,2212,432,845,,,182,236,,207,85,32,169,197,1046,.511,,.771,33.5,15.8,7.6,3.1,80.0,235.0
366,Pearl Washington,12.4,3.0,20,22,95,3198,570,1083,,,350,480,,,220,6,355,266,1490,.526,,.729,33.7,15.7,2.7,,74.0,190.0
367,Walter Berry,16.6,2.0,20,21,71,2518,558,961,,,308,435,,,59,121,196,184,1424,.581,,.708,35.5,20.1,9.9,,80.0,215.0
368,Dell Curry,16.0,4.0,18,21,126,4275,1021,2022,4,7,343,437,,407,295,80,388,333,2389,.505,.571,.785,33.9,19.0,4.8,3.2,76.0,190.0
369,Maurice Martin,9.3,4.0,18,21,114,3776,665,1289,,,373,506,,,248,75,110,392,1726,.516,,.737,33.1,15.1,5.5,,78.0,200.0
370,Harold Pressley,13.8,4.0,19,22,135,4286,612,1255,,,348,501,,,,,,,1572,.488,,.695,31.7,11.6,7.5,,79.0,210.0
371,Mark Alarie,13.0,4.0,19,22,133,4042,828,1505,0,2,480,602,,152,121,104,268,387,2136,.550,.000,.797,30.4,16.1,6.3,1.1,80.0,217.0
372,Billy Thompson,13.2,4.0,19,22,143,4065,651,1233,,,383,533,,459,108,185,475,430,1685,.528,,.719,28.4,11.8,6.5,3.2,79.0,195.0
373,Buck Johnson,11.9,4.0,19,22,122,4130,731,1353,,,407,551,,160,121,115,318,370,1869,.540,,.739,33.9,15.3,7.6,1.3,79.0,190.0
374,Anthony Jones,9.8,4.0,19,23,131,3382,647,1277,,,188,300,,,186,59,207,262,1533,.507,,.627,25.8,11.7,4.1,,78.0,195.0
375,Scott Skiles,14.4,4.0,18,21,118,4285,837,1623,25,50,446,525,,645,175,3,442,315,2145,.516,.500,.850,36.3,18.2,3.0,5.5,73.0,180.0
376,Mark Price,19.6,4.0,18,21,126,4604,848,1740,73,166,424,499,,510,240,11,339,248,2193,.487,.440,.850,36.5,17.4,2.6,4.0,72.0,170.0
377,Greg Dreiling,7.4,4.0,19,23,134,3294,556,979,,,331,453,,144,48,173,266,419,1443,.568,,.731,24.6,10.8,5.8,1.1,85.0,250.0
378,Dennis Rodman,14.6,3.0,22,24,96,,988,1550,,,489,783,,61,131,123,283,304,2465,.637,,.625,,25.7,15.7,0.6,79.0,210.0
379,Larry Krystkowiak,12.0,4.0,18,21,120,3661,699,1247,,,619,784,,133,96,28,219,251,2017,.561,,.790,30.5,16.8,9.2,1.1,81.0,220.0
380,Johnny Newman,12.9,4.0,19,22,122,4203,933,1755,,,517,646,,121,145,84,264,347,2383,.532,,.800,34.5,19.5,5.5,1.0,79.0,190.0
381,Nate McMillan,14.5,2.0,20,21,67,2181,221,469,,,130,185,,402,149,62,184,180,572,.471,,.703,32.6,8.5,5.1,6.0,77.0,195.0
382,Cedric Henderson,15.3,1.0,19,19,28,741,167,307,,,99,145,,,51,31,56,85,433,.544,,.683,26.5,15.5,7.1,,80.0,210.0
383,Kevin Duckworth,11.9,4.0,18,21,118,3067,627,1087,,,315,447,,57,50,123,232,385,1569,.577,,.705,26.0,13.3,7.3,0.5,84.0,275.0
384,Johnny Rogers,9.7,4.0,18,22,114,3512,726,1350,,,401,481,,,58,81,149,335,1878,.538,,.834,30.8,16.5,6.2,,82.0,225.0
385,Milt Wagner,10.6,5.0,18,22,144,4083,749,1497,2,4,336,413,,432,138,52,373,325,1836,.500,.500,.814,28.4,12.8,2.5,3.0,77.0,185.0
386,Rafael Addison,10.5,4.0,18,21,126,3798,779,1458,,,318,417,,320,148,65,247,327,1876,.534,,.763,30.1,14.9,5.2,2.5,79.0,215.0
387,Otis Smith,15.7,4.0,19,22,117,4263,685,1437,2,7,343,470,,272,189,211,295,315,1715,.477,.286,.730,36.4,14.7,7.8,2.3,77.0,210.0
388,Dave Feitl,9.8,4.0,20,23,125,3144,543,1084,,,356,487,,129,38,137,207,362,1442,.501,,.731,25.2,11.5,5.8,1.0,83.0,235.0
389,David Wingate,10.0,4.0,19,22,139,3944,697,1494,,,388,540,,364,209,24,315,326,1782,.467,,.719,28.4,12.8,3.6,2.6,77.0,185.0
390,Keith Smith,6.0,4.0,18,21,110,3706,814,1679,,,351,486,,,85,13,203,277,1980,.485,,.722,33.7,18.0,2.2,,75.0,180.0
391,Jeff Hornacek,17.7,4.0,19,22,123,4101,510,1043,,,293,371,,665,211,32,281,313,1313,.489,,.790,33.3,10.7,3.3,5.4,75.0,190.0
392,Michael Jackson,7.7,4.0,18,21,131,3618,477,998,,,330,410,,,176,6,358,338,1284,.478,,.805,27.6,9.8,1.7,,74.0,183.0
393,Forrest McKenzie,-2.2,4.0,18,22,110,3755,890,1812,,,279,335,,,31,8,71,312,2060,.491,,.833,34.1,18.7,6.6,,79.0,200.0
394,Kevin Henderson,6.4,3.0,19,21,73,1985,368,721,,,205,361,,,57,6,161,203,981,.510,,.568,27.2,13.4,2.0,,76.0,195.0
395,Mike Williams,3.5,4.0,18,22,102,3013,503,921,,,244,408,,,34,68,151,319,1250,.546,,.598,29.5,12.3,7.1,,80.0,255.0
396,Ricky Wilson,10.0,4.0,18,21,116,3660,586,1235,,,333,485,,,127,15,312,294,1505,.474,,.687,31.6,13.0,3.1,,75.0,195.0
397,Tod Murphy,11.9,4.0,19,22,117,3739,644,1158,2,4,488,625,,201,95,39,258,310,1778,.556,.500,.781,32.0,15.2,7.2,1.7,81.0,220.0
398,Dwayne Polee,-11.4,4.0,18,22,116,3330,540,1075,,,419,558,,,151,22,241,332,1499,.502,,.751,28.7,12.9,3.4,,77.0,180.0
399,Kenny Gattison,13.0,4.0,18,21,122,3519,631,1143,,,361,555,,80,110,124,251,321,1623,.552,,.650,28.8,13.3,7.9,0.7,80.0,225.0
400,Bruce Douglas,5.7,4.0,18,21,130,4373,513,1149,,,234,315,,,324,26,332,280,1261,.446,,.743,33.6,9.7,3.2,,75.0,195.0
401,Dave Henderson,6.7,4.0,18,21,128,3325,586,1208,,,389,554,,,,,,,1570,.485,,.702,26.0,12.3,4.0,,77.0,195.0
402,John Shasky,11.8,4.0,18,21,112,2905,420,793,,,232,352,,77,46,118,165,246,1072,.530,,.659,25.9,9.6,5.3,0.7,83.0,235.0
403,Dave Hoppen,11.3,4.0,18,21,111,3711,804,1341,,,559,724,,149,62,55,230,367,2167,.600,,.772,33.4,19.5,7.0,1.3,83.0,235.0
404,Anthony Bowie,11.7,2.0,21,22,72,2452,404,794,,,155,197,,362,112,24,161,204,963,.509,,.787,34.1,13.4,5.2,5.0,78.0,190.0
405,Ron Rowan,22.2,4.0,19,23,100,2167,318,633,,,149,183,,,68,6,112,158,785,.502,,.814,21.7,7.9,1.9,,77.0,200.0
406,Andre Turner,12.0,4.0,18,21,132,4352,584,1198,,,274,362,,763,272,12,412,274,1442,.487,,.757,33.0,10.9,1.7,5.8,71.0,160.0
407,Jim Les,12.4,5.0,18,22,118,3204,439,924,,,269,348,,884,175,2,161,316,1147,.475,,.773,36.8,9.7,3.0,7.5,71.0,165.0
408,Scott Meents,11.2,4.0,19,22,124,1861,256,530,,,85,117,,193,48,85,144,216,597,.483,,.726,15.0,4.8,2.6,1.6,82.0,225.0
409,Grant Gondrezick,11.1,4.0,19,23,102,2050,370,734,,,184,238,,,73,8,140,201,924,.504,,.773,20.1,9.1,3.0,,77.0,205.0
410,Myron Jackson,10.6,4.0,18,21,120,2607,571,1271,,,229,314,,,110,9,241,300,1371,.449,,.729,29.0,11.4,3.7,,75.0,185.0
411,Conner Henry,9.7,4.0,19,22,101,3159,427,993,,,308,396,,,87,19,309,250,1237,.430,,.778,31.3,12.2,4.0,,79.0,195.0
412,Richard Rellford,11.6,4.0,18,21,124,2212,472,845,,,267,337,,,90,47,178,333,1211,.559,,.792,23.0,9.8,3.9,,78.0,230.0
413,Clinton Smith,11.0,3.0,19,22,84,1788,424,783,,,141,232,,127,100,11,136,130,989,.542,,.608,21.3,11.8,4.2,1.5,78.0,210.0
414,Dominic Pressley,5.3,4.0,18,21,119,3216,382,772,,,203,291,,,,,,,967,.495,,.698,27.0,8.1,2.7,,74.0,170.0
415,Steffond Johnson,4.7,4.0,19,23,87,1465,237,488,,,152,261,,42,37,18,77,215,626,.486,,.582,16.8,7.2,4.5,0.5,80.0,240.0
416,Pete Myers,9.9,2.0,21,22,64,1142,391,788,,,315,428,,,102,31,199,208,1097,.496,,.736,33.6,17.1,7.5,,78.0,180.0
