,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g,height_in,weight_lb
720,Jamal Mashburn,15.7,3.0,18,20,98,2962,675,1307,148,394,345,495,,220,153,53,243,306,1843,.516,.376,.697,30.2,18.8,7.8,2.2,80.0,240.0
721,Isaiah Rider,14.7,2.0,20,21,55,1914,488,968,136,339,260,323,,158,,,,,1372,.504,.401,.805,34.8,24.9,7.1,2.9,77.0,215.0
722,Calbert Cheaney,11.0,4.0,18,21,132,4129,1018,1820,148,338,429,543,,227,117,45,277,335,2613,.559,.438,.790,31.3,19.8,5.4,1.7,79.0,209.0
723,Bobby Hurley,8.1,4.0,18,21,140,4802,513,1252,264,652,441,568,,1076,204,6,534,320,1731,.410,.405,.776,34.3,12.4,2.2,7.7,72.0,165.0
724,Vin Baker,16.3,4.0,18,21,112,3289,860,1811,73,333,445,699,,115,112,279,277,333,2238,.475,.219,.637,29.4,20.0,8.5,1.0,83.0,232.0
725,Rodney Rogers,14.4,3.0,19,21,89,2821,683,1179,53,152,301,434,,195,146,74,247,249,1720,.579,.349,.694,31.7,19.3,7.9,2.2,79.0,235.0
726,Lindsey Hunter,12.1,4.0,18,22,119,3778,868,2120,297,841,360,508,,440,257,31,374,233,2393,.409,.353,.709,31.7,20.1,3.2,3.7,74.0,170.0
727,Allan Houston,14.9,4.0,18,21,128,4606,902,1961,346,817,651,767,,460,133,50,407,274,2801,.460,.424,.849,36.0,21.9,4.0,3.6,78.0,200.0
728,George Lynch,12.8,4.0,19,22,140,3705,711,1369,11,32,314,482,,233,241,60,318,386,1747,.519,.344,.651,26.5,12.5,7.8,1.7,80.0,218.0
729,Terry Dehere,12.7,4.0,18,21,128,4272,785,1777,315,809,609,741,,319,144,42,339,345,2494,.442,.389,.822,33.4,19.5,3.2,2.5,74.0,190.0
730,Scott Haskin,11.3,4.0,18,22,111,2713,524,953,,,271,381,,77,39,172,180,325,1319,.550,,.711,24.4,11.9,5.6,0.7,83.0,250.0
731,Doug Edwards,8.4,3.0,20,22,93,3207,621,1194,30,114,332,458,,232,123,121,257,294,1604,.520,.263,.725,34.5,17.2,8.5,2.5,79.0,220.0
732,Rex Walters,11.2,4.0,18,22,120,3003,542,1084,209,491,313,374,,436,131,24,274,269,1606,.500,.426,.837,25.0,13.4,2.4,3.6,76.0,190.0
733,Greg Graham,10.6,4.0,19,22,132,3266,507,987,108,246,468,611,,304,151,36,234,263,1590,.514,.439,.766,24.7,12.0,3.1,2.3,76.0,174.0
734,Luther Wright,-0.4,2.0,20,21,64,1150,188,360,,,76,118,,34,44,118,79,147,452,.522,,.644,18.0,7.1,5.3,0.5,86.0,270.0
735,Acie Earl,10.6,4.0,19,22,116,3204,642,1265,2,6,493,725,,139,111,358,334,281,1779,.508,.333,.680,27.6,15.3,7.0,1.2,82.0,240.0
736,Scott Burrell,13.5,4.0,19,22,119,3821,544,1276,168,471,306,478,,293,310,129,281,381,1562,.426,.357,.640,32.1,13.1,6.3,2.5,79.0,218.0
737,James Robinson,11.2,3.0,20,22,96,3134,633,1427,225,607,322,462,,187,120,46,277,243,1813,.444,.371,.697,32.6,18.9,4.1,1.9,74.0,180.0
738,Chris Mills,13.3,4.0,19,23,126,4003,795,1566,143,381,345,450,,284,140,65,319,331,2078,.508,.375,.767,31.8,16.5,7.6,2.3,78.0,215.0
739,Ervin Johnson,12.2,4.0,22,25,123,3694,639,1081,,,330,511,,135,109,294,253,380,1608,.591,,.646,30.0,13.1,10.5,1.1,83.0,245.0
740,Sam Cassell,19.5,2.0,22,23,66,2344,440,920,108,295,223,304,,289,153,18,190,218,1211,.478,.366,.734,35.5,18.3,4.4,4.4,75.0,185.0
741,Corie Blount,11.1,2.0,23,24,55,1452,218,427,0,2,80,143,,116,,,,,516,.511,.000,.559,26.4,9.4,7.0,2.1,81.0,240.0
742,Geert Hammink,14.0,4.0,19,23,112,1636,280,594,0,4,170,248,,88,48,41,160,202,730,.471,.000,.685,14.6,6.5,4.8,0.8,84.0,262.0
743,Malcolm Mackey,12.6,4.0,19,22,130,4141,708,1299,0,3,318,512,,141,60,199,265,393,1734,.545,.000,.621,31.9,13.3,9.3,1.1,81.0,248.0
744,Lucious Harris,12.8,4.0,19,22,122,4183,776,1695,211,583,549,755,,297,200,22,256,243,2312,.458,.362,.727,34.3,19.0,4.8,2.4,77.0,190.0
745,Evers Burns,9.7,4.0,18,21,113,2548,545,1092,1,4,224,365,,101,114,64,170,288,1315,.499,.250,.614,22.5,11.6,5.6,0.9,80.0,260.0
746,Alphonso Ford,4.4,4.0,18,21,109,3573,1121,2469,333,985,590,773,,331,229,28,304,258,3165,.454,.338,.763,32.8,29.0,5.4,3.0,73.0,190.0
747,Eric Riley,12.5,4.0,19,22,126,2248,299,563,0,4,179,267,,79,51,168,190,358,777,.531,.000,.670,17.8,6.2,5.2,0.6,84.0,245.0
748,Darnell Mee,6.5,3.0,19,21,91,2796,437,1018,144,431,235,330,,273,259,110,216,286,1253,.429,.334,.712,30.7,13.8,5.2,3.0,77.0,175.0
749,Ed Stokes,6.4,4.0,18,21,121,2521,375,728,,,234,375,,55,60,167,175,326,984,.515,,.624,20.8,8.1,5.3,0.5,84.0,264.0
750,Nick Van Exel,15.8,4.0,18,21,123,1883,732,1692,284,783,348,496,,588,98,9,133,106,2096,.433,.363,.702,29.0,17.0,3.0,4.8,73.0,170.0
751,Rich Manning,8.1,4.0,18,22,121,2429,483,878,1,4,186,252,,71,47,69,174,248,1153,.550,.250,.738,20.1,9.5,4.3,0.6,83.0,253.0
752,Adonis Jordan,8.0,4.0,19,22,137,3611,455,982,179,437,284,376,,568,181,4,263,205,1373,.463,.410,.755,26.4,10.0,2.5,4.1,71.0,170.0
753,Josh Grant,11.7,5.0,21,25,131,3828,726,1472,153,405,393,475,,387,191,109,306,347,1998,.493,.378,.827,29.2,15.3,8.1,3.0,81.0,223.0
754,Bryon Russell,12.6,3.0,20,22,86,2334,362,705,31,90,248,363,,137,117,48,184,278,1003,.513,.344,.683,27.1,11.7,6.6,1.6,79.0,225.0
755,Richard Petruska,12.3,2.0,22,24,61,1507,351,646,2,9,145,225,,42,52,113,127,199,849,.543,.222,.644,24.7,13.9,6.9,0.7,82.0,260.0
756,Chris Whitney,13.8,2.0,20,21,58,2108,268,628,167,404,141,179,,354,114,2,204,182,844,.427,.413,.788,36.3,14.6,3.7,6.1,72.0,168.0
757,Kevin Thompson,4.9,4.0,18,21,118,3281,530,901,1,7,189,336,,161,55,150,167,267,1250,.588,.143,.563,27.8,10.6,6.9,1.4,83.0,260.0
758,Mike Peplowski,9.8,4.0,19,22,116,2881,488,786,0,1,209,312,,107,40,68,179,333,1185,.621,.000,.670,24.8,10.2,7.8,0.9,82.0,270.0
759,Glenn Robinson,17.5,2.0,20,21,62,2176,614,1281,111,288,367,475,,115,113,65,242,170,1706,.479,.385,.773,35.1,27.5,9.7,1.9,79.0,225.0
760,Jason Kidd,17.9,2.0,19,20,59,1975,299,639,75,225,205,303,,494,204,17,241,150,878,.468,.333,.677,33.5,14.9,5.9,8.4,76.0,205.0
761,Grant Hill,19.0,4.0,18,21,129,3922,745,1400,44,117,390,559,,461,218,133,319,316,1924,.532,.376,.698,30.4,14.9,6.0,3.6,80.0,225.0
762,Donyell Marshall,16.8,3.0,18,20,91,2817,597,1226,76,248,376,488,,131,113,242,241,224,1646,.487,.306,.770,31.0,18.1,7.6,1.4,81.0,218.0
763,Juwan Howard,14.6,3.0,18,20,100,3071,617,1209,1,11,291,423,,202,80,56,269,305,1526,.510,.091,.688,30.7,15.3,7.5,2.0,81.0,240.0
764,Sharone Wright,12.8,3.0,19,21,92,2687,501,943,0,6,306,484,,78,69,286,230,249,1308,.531,.000,.632,29.2,14.2,9.8,0.8,83.0,260.0
765,Lamond Murray,14.1,3.0,18,20,88,2689,644,1316,99,294,301,422,,160,110,75,227,206,1688,.489,.337,.713,30.6,19.2,6.8,1.8,79.0,236.0
766,Brian Grant,14.9,4.0,18,21,116,3499,656,1104,1,3,406,601,,136,98,127,270,327,1719,.594,.333,.676,30.2,14.8,9.3,1.2,81.0,254.0
767,Eric Montross,9.1,4.0,19,22,139,3501,626,1070,,,375,601,,86,63,169,211,408,1627,.585,,.624,25.2,11.7,6.8,0.6,84.0,270.0
768,Eddie Jones,16.7,3.0,20,22,92,3117,565,1233,141,403,199,324,,144,197,107,137,234,1470,.458,.350,.614,33.9,16.0,6.1,1.6,78.0,190.0
769,Carlos Rogers,15.4,3.0,19,22,79,2363,591,980,4,16,321,510,,99,51,224,215,319,1507,.603,.250,.629,29.9,19.1,10.5,1.3,83.0,220.0
770,Khalid Reeves,13.1,4.0,18,21,128,3445,646,1349,186,489,447,586,,396,187,13,280,295,1925,.479,.380,.763,26.9,15.0,3.3,3.1,75.0,199.0
771,Jalen Rose,15.3,3.0,19,21,102,3510,629,1356,124,369,406,550,,401,119,29,312,241,1788,.464,.336,.738,34.4,17.5,4.7,3.9,80.0,210.0
772,Yinka Dare,6.2,2.0,20,21,58,1669,304,559,,,186,354,,18,37,140,135,179,794,.544,,.525,28.8,13.7,10.2,0.3,84.0,265.0
773,Eric Piatkowski,14.0,4.0,20,23,123,3418,676,1436,202,564,380,489,,322,122,64,261,259,1934,.471,.358,.777,27.8,15.7,5.4,2.6,79.0,215.0
774,Clifford Rozier,11.9,3.0,18,21,99,2377,503,878,0,3,265,476,,133,78,134,232,217,1271,.573,.000,.557,24.0,12.8,8.2,1.3,83.0,245.0
775,Aaron McKie,12.8,3.0,19,21,92,3497,563,1336,178,486,346,438,,301,196,23,176,192,1650,.421,.366,.790,38.0,17.9,6.4,3.3,77.0,209.0
776,Eric Mobley,10.6,3.0,21,23,88,2091,371,666,,,158,325,,124,40,184,175,243,900,.557,,.486,23.8,10.2,6.8,1.4,83.0,235.0
777,Tony Dumas,12.0,4.0,18,21,112,4002,844,1770,177,478,594,789,,344,142,49,365,298,2459,.477,.370,.753,35.7,22.0,5.1,3.1,78.0,190.0
778,B.J. Tyler,8.5,4.0,18,22,93,2856,526,1209,219,606,281,379,,519,219,18,320,172,1552,.435,.361,.741,30.7,16.7,2.8,5.6,73.0,185.0
779,Dickey Simpkins,9.5,4.0,18,21,125,3343,430,885,9,26,357,553,,148,85,97,268,307,1226,.486,.346,.646,26.7,9.8,6.3,1.2,81.0,248.0
780,Bill Curley,8.2,4.0,18,21,126,4116,742,1314,0,5,618,792,,158,121,88,308,407,2102,.565,.000,.780,32.7,16.7,7.9,1.3,81.0,220.0
781,Wesley Person,14.1,4.0,19,22,108,3775,772,1533,262,594,260,348,,284,112,88,262,185,2066,.504,.441,.747,35.0,19.1,6.5,2.6,78.0,195.0
782,Monty Williams,12.8,3.0,18,22,85,2530,497,1020,59,162,318,431,,138,87,50,236,202,1371,.487,.364,.738,29.8,16.1,7.0,1.6,80.0,225.0
783,Greg Minor,12.9,3.0,20,22,95,3043,448,884,94,259,209,283,,228,128,33,146,152,1199,.507,.363,.739,32.0,12.6,5.6,2.4,78.0,210.0
