,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
674,Carrick Felix,13.3,3.0,20,22,94,2626,341,748,99,304,174,247,125,125,96,74,162,224,955,.456,.326,.704,27.9,10.2,4.8,1.3
675,Isaiah Canaan,10.9,4.0,18,21,132,3876,635,1411,304,725,476,593,73,385,157,10,311,241,2050,.450,.419,.803,29.4,15.5,2.8,2.9
676,"Glen Rice, Jr.",3.8,3.0,19,21,87,2156,316,727,100,289,129,211,143,185,111,47,162,194,861,.435,.346,.611,24.8,9.9,4.8,2.1
677,Ray McCallum,11.0,3.0,19,21,102,3519,546,1173,97,335,429,593,126,451,175,32,233,210,1618,.465,.290,.723,34.5,15.9,4.8,4.4
678,Tony Mitchell,18.1,2.0,19,20,55,1713,258,526,48,141,191,272,136,62,51,157,143,163,755,.490,.340,.702,31.1,13.7,9.3,1.1
679,Nate Wolters,11.4,4.0,18,21,127,4204,773,1716,158,462,648,807,120,668,192,21,280,229,2352,.450,.342,.803,33.1,18.5,4.7,5.3
680,Jeff Withey,16.8,4.0,19,22,117,2319,327,576,1,1,283,390,185,69,59,311,138,208,938,.568,1.000,.726,19.8,8.0,5.4,0.6
681,Grant Jerrett,1.5,1.0,19,19,34,606,63,154,32,79,18,22,37,18,16,33,19,44,176,.409,.405,.818,17.8,5.2,3.6,0.5
682,Jamaal Franklin,4.7,3.0,19,21,85,2198,362,849,98,325,340,436,128,162,86,51,218,182,1162,.426,.302,.780,25.9,13.7,7.0,1.9
683,Pierre Jackson,6.6,2.0,20,21,74,2424,390,884,157,414,298,369,57,478,122,3,256,168,1235,.441,.379,.808,32.8,16.7,3.3,6.5
684,Mike Muscala,14.9,4.0,18,21,133,3815,723,1443,21,67,569,695,301,211,56,271,217,312,2036,.501,.313,.819,28.7,15.3,8.2,1.6
685,Erick Green,9.3,4.0,18,21,129,3648,592,1356,140,414,418,520,59,326,156,26,178,208,1742,.437,.338,.804,28.3,13.5,2.6,2.5
686,Ryan Kelly,10.6,4.0,18,21,126,2437,314,682,102,269,219,272,141,117,73,133,104,237,949,.460,.379,.805,19.3,7.5,3.7,0.9
687,Erik Murphy,0.2,4.0,19,22,136,2488,397,773,143,329,115,152,160,95,58,85,139,297,1052,.514,.435,.757,18.3,7.7,3.7,0.7
688,Lorenzo Brown,9.8,3.0,20,22,101,3289,410,955,64,210,283,382,74,589,172,50,304,190,1167,.429,.305,.741,32.6,11.6,4.2,5.8
689,Peyton Siva,5.7,4.0,19,22,144,3774,412,989,99,340,292,396,48,677,254,19,384,379,1215,.417,.291,.737,26.2,8.4,2.4,4.7
690,Andrew Wiggins,15.1,1.0,18,18,35,1148,189,422,43,126,176,227,76,54,41,34,80,94,597,.448,.341,.775,32.8,17.1,5.9,1.5
691,Jabari Parker,16.2,1.0,18,18,35,1074,236,499,38,106,160,214,105,41,37,43,81,83,670,.473,.358,.748,30.7,19.1,8.7,1.2
692,Joel Embiid,24.1,1.0,19,19,28,647,107,171,1,5,98,143,65,38,25,72,66,94,313,.626,.200,.685,23.1,11.2,8.1,1.4
693,Aaron Gordon,14.7,1.0,18,18,38,1187,189,382,16,45,76,180,102,75,34,39,55,90,470,.495,.356,.422,31.2,12.4,8.0,2.0
694,Marcus Smart,11.2,2.0,18,19,64,2120,314,760,87,295,349,465,94,287,188,40,193,183,1064,.413,.295,.751,33.1,16.6,5.9,4.5
695,Julius Randle,14.5,1.0,19,19,40,1233,196,391,3,18,204,289,139,57,20,31,101,91,599,.501,.167,.706,30.8,15.0,10.4,1.4
696,Nik Stauskas,8.6,2.0,19,20,75,2471,323,692,172,390,242,291,35,170,42,20,111,73,1060,.467,.441,.832,32.9,14.1,2.9,2.3
697,Noah Vonleh,9.3,1.0,18,18,30,794,113,216,16,33,96,134,71,18,26,41,64,81,338,.523,.485,.716,26.5,11.3,9.0,0.6
698,Elfrid Payton,14.4,3.0,17,19,100,3155,501,1032,30,112,394,645,148,486,197,51,336,226,1426,.485,.268,.611,31.6,14.3,5.1,4.9
699,Doug McDermott,10.5,4.0,19,22,145,4569,1141,2075,274,598,594,715,281,194,34,14,321,265,3150,.550,.458,.831,31.5,21.7,7.5,1.3
700,Zach LaVine,13.7,1.0,18,18,37,904,127,288,48,128,47,68,18,66,33,6,42,73,349,.441,.375,.691,24.4,9.4,2.5,1.8
701,T.J. Warren,15.0,2.0,19,20,70,2182,528,951,45,143,195,298,187,68,105,36,117,174,1296,.555,.315,.654,31.2,18.5,5.7,1.0
702,Adreian Payne,7.5,4.0,19,22,138,2759,447,850,61,149,277,367,211,85,76,141,187,297,1232,.526,.409,.755,20.0,8.9,5.3,0.6
703,James Young,7.0,1.0,18,18,40,1296,183,450,82,235,125,177,41,67,30,8,75,83,573,.407,.349,.706,32.4,14.3,4.3,1.7
704,Tyler Ennis,8.5,1.0,19,19,34,1215,148,360,30,85,114,149,27,187,71,6,58,69,440,.411,.353,.765,35.7,12.9,3.4,5.5
705,Gary Harris,11.6,2.0,18,19,69,2141,345,784,146,388,189,240,67,140,108,21,111,141,1025,.440,.376,.788,31.0,14.9,3.3,2.0
706,Mitch McGary,15.4,2.0,20,21,47,967,164,279,0,2,39,76,122,37,57,34,60,117,367,.588,.000,.513,20.6,7.8,6.6,0.8
707,Jordan Adams,13.1,2.0,18,19,69,2081,373,798,98,296,287,342,88,142,168,17,94,147,1131,.467,.331,.839,30.2,16.4,4.6,2.1
708,Rodney Hood,13.4,2.0,19,21,67,2200,318,699,118,298,136,176,60,139,38,23,84,132,890,.455,.396,.773,32.8,13.3,4.3,2.1
709,Shabazz Napier,9.8,4.0,19,22,143,4614,595,1447,260,693,509,626,101,646,251,30,350,301,1959,.411,.375,.813,32.3,13.7,4.0,4.5
710,P.J. Hairston,7.6,2.0,19,20,71,1286,220,567,127,364,140,175,93,74,57,20,66,118,707,.388,.349,.800,18.1,10.0,3.2,1.0
711,C.J. Wilcox,9.9,4.0,20,23,131,3735,640,1478,301,773,299,356,110,214,112,98,178,250,1880,.433,.389,.840,28.5,14.4,3.4,1.6
712,Josh Huestis,6.7,4.0,19,22,135,3376,392,870,66,207,169,277,292,113,67,190,125,230,1019,.451,.319,.610,25.0,7.5,6.2,0.8
713,Kyle Anderson,11.7,2.0,19,20,71,2242,303,670,36,96,223,303,119,355,126,58,183,132,865,.452,.375,.736,31.6,12.2,8.7,5.0
714,K.J. McDaniels,10.5,3.0,18,20,94,2287,362,804,81,259,230,300,170,85,83,178,140,168,1035,.450,.313,.767,24.3,11.0,4.8,0.9
715,Joe Harris,7.9,4.0,19,22,135,4084,568,1276,263,646,299,414,116,254,116,48,213,307,1698,.445,.407,.722,30.3,12.6,3.8,1.9
716,Cleanthony Early,7.2,2.0,21,22,75,1965,371,790,113,325,280,342,137,50,58,63,131,183,1135,.470,.348,.819,26.2,15.1,5.7,0.7
717,Jarnell Stokes,19.4,3.0,18,20,87,2587,411,776,0,3,307,489,337,129,65,94,180,190,1129,.530,.000,.628,29.7,13.0,9.6,1.5
718,Johnny O'Bryant,6.3,3.0,18,20,91,2465,446,956,6,27,257,415,277,115,47,72,267,255,1155,.467,.222,.619,27.1,12.7,7.7,1.3
719,Spencer Dinwiddie,9.7,3.0,18,20,86,2590,290,690,115,298,420,506,42,227,97,29,153,181,1115,.420,.386,.830,30.1,13.0,3.3,2.6
720,Jerami Grant,10.8,2.0,18,19,72,1577,187,385,6,20,161,251,124,62,43,36,63,129,541,.486,.300,.641,21.9,7.5,4.7,0.9
721,Glenn Robinson III,9.8,2.0,19,20,76,2506,349,665,56,179,158,220,137,87,74,21,78,99,912,.525,.313,.718,33.0,12.0,4.9,1.1
722,Nick Johnson,4.8,3.0,19,21,108,3339,441,1048,144,401,307,418,64,304,137,64,197,220,1333,.421,.359,.734,30.9,12.3,3.7,2.8
723,Markel Brown,10.3,4.0,19,22,134,4088,551,1255,146,421,407,555,104,308,136,113,239,285,1655,.439,.347,.733,30.5,12.4,4.3,2.3
724,Dwight Powell,17.3,4.0,19,22,136,3569,515,1110,33,114,402,557,225,240,125,118,283,390,1465,.464,.289,.722,26.2,10.8,6.3,1.8
725,Jordan Clarkson,15.0,3.0,18,21,93,2952,473,1075,95,295,392,487,74,249,87,26,254,211,1433,.440,.322,.805,31.7,15.4,3.3,2.7
726,Russ Smith,7.8,4.0,19,22,133,3228,620,1501,180,521,488,642,98,378,257,8,316,321,1908,.413,.345,.760,24.3,14.3,2.7,2.8
727,Lamar Patterson,5.1,5.0,18,22,149,3628,477,1097,171,463,285,394,173,427,146,44,244,276,1410,.435,.369,.723,24.3,9.5,3.9,2.9
728,Cameron Bairstow,5.0,4.0,20,23,134,2787,418,808,2,6,401,559,234,102,62,99,157,282,1239,.517,.333,.717,20.8,9.2,4.8,0.8
729,Semaj Christon,6.3,2.0,20,21,64,2227,363,785,26,77,282,421,20,281,90,11,198,152,1034,.462,.338,.670,34.8,16.2,2.8,4.4
730,Devyn Marble,5.5,4.0,18,21,136,3749,564,1359,134,396,432,595,118,397,176,33,232,212,1694,.415,.338,.726,27.6,12.5,3.4,2.9
731,Jordan McRae,12.0,4.0,19,22,114,3088,496,1190,179,522,350,455,75,209,73,97,225,218,1521,.417,.343,.769,27.1,13.3,3.3,1.8
732,Cory Jefferson,13.2,4.0,19,23,130,2589,431,794,17,50,280,424,243,51,42,166,101,226,1159,.543,.340,.660,19.9,8.9,5.6,0.4
733,Karl-Anthony Towns,22.5,1.0,19,19,39,822,145,256,2,8,109,134,92,44,18,88,53,115,401,.566,.250,.813,21.1,10.3,6.7,1.1
734,D'Angelo Russell,13.8,1.0,18,18,35,1188,231,515,95,231,118,156,35,175,55,11,102,74,675,.449,.411,.756,33.9,19.3,5.7,5.0
735,Jahlil Okafor,16.5,1.0,19,19,38,1143,279,420,0,0,99,194,134,49,29,54,95,81,657,.664,,.510,30.1,17.3,8.5,1.3
736,Willie Cauley-Stein,14.7,3.0,19,21,105,2575,346,583,0,0,151,297,250,90,115,233,127,246,843,.593,,.508,24.5,8.0,6.2,0.9
737,Stanley Johnson,8.8,1.0,18,18,38,1081,174,390,43,116,132,178,75,63,57,15,82,100,523,.446,.371,.742,28.4,13.8,6.5,1.7
738,Frank Kaminsky,12.3,4.0,18,21,144,2943,529,1013,103,279,297,389,182,188,77,153,121,235,1458,.522,.369,.763,20.4,10.1,4.6,1.3
739,Justise Winslow,8.4,1.0,18,18,39,1135,173,356,46,110,100,156,49,82,52,34,71,108,492,.486,.418,.641,29.1,12.6,6.5,2.1
740,Myles Turner,17.6,1.0,18,18,34,755,117,257,17,62,94,112,44,20,10,89,47,82,345,.455,.274,.839,22.2,10.1,6.5,0.6
741,Trey Lyles,12.2,1.0,19,19,36,828,117,240,4,29,75,102,65,38,19,16,41,57,313,.488,.138,.735,23.0,8.7,5.2,1.1
742,Devin Booker,12.7,1.0,18,18,38,816,135,287,58,141,53,64,17,42,17,2,37,58,381,.470,.411,.828,21.5,10.0,2.0,1.1
743,Cameron Payne,11.8,2.0,19,20,69,2238,435,1007,156,434,253,324,31,394,125,37,197,168,1279,.432,.359,.781,32.4,18.5,3.7,5.7
744,Kelly Oubre Jr.,9.0,1.0,19,19,36,756,110,248,34,95,79,110,41,28,41,13,43,71,333,.444,.358,.718,21.0,9.3,5.0,0.8
745,Terry Rozier,9.0,2.0,19,20,73,1959,307,753,84,254,176,228,71,175,110,8,101,116,874,.408,.331,.772,26.8,12.0,4.3,2.4
746,Rashad Vaughn,5.1,1.0,18,18,23,742,144,328,54,141,68,98,14,36,18,8,50,54,410,.439,.383,.694,32.3,17.8,4.8,1.6
747,Sam Dekker,13.9,3.0,18,20,113,3153,499,1012,142,408,223,321,185,148,73,54,114,137,1363,.493,.348,.695,27.9,12.1,5.0,1.3
748,Jerian Grant,11.2,5.0,18,22,120,4337,556,1276,179,519,448,567,48,690,175,37,266,219,1739,.436,.345,.790,36.1,14.5,2.9,5.8
749,Delon Wright,17.8,2.0,21,22,68,2367,339,634,38,127,306,376,76,352,155,77,152,110,1022,.535,.299,.814,34.8,15.0,5.8,5.2
750,Justin Anderson,13.1,3.0,19,21,98,2364,288,669,97,272,200,266,75,180,60,84,125,137,873,.430,.357,.752,24.1,8.9,3.5,1.8
751,Bobby Portis,13.4,2.0,18,19,70,1994,411,782,23,63,202,274,219,92,74,104,97,137,1047,.526,.365,.737,28.5,15.0,7.9,1.3
752,Rondae Hollis-Jefferson,12.9,2.0,19,20,76,2050,259,522,8,39,248,356,160,114,72,72,103,186,774,.496,.205,.697,27.0,10.2,6.3,1.5
753,Tyus Jones,12.5,1.0,18,18,39,1322,135,324,47,124,144,162,19,217,59,3,76,46,461,.417,.379,.889,33.9,11.8,3.5,5.6
754,Jarell Martin,10.6,2.0,19,20,65,1996,323,654,41,133,202,293,154,88,65,45,144,170,889,.494,.308,.689,30.7,13.7,6.9,1.4
755,Larry Nance Jr.,14.2,4.0,19,22,123,3631,510,978,36,117,330,428,185,172,141,135,193,284,1386,.521,.308,.771,29.5,11.3,6.6,1.4
756,R.J. Hunter,7.4,3.0,19,21,99,3438,559,1321,253,715,448,525,68,240,191,92,168,214,1819,.423,.354,.853,34.7,18.4,4.8,2.4
757,Chris McCullough,12.6,1.0,19,19,16,450,54,113,1,1,40,71,36,18,27,33,35,41,149,.478,1.000,.563,28.1,9.3,6.9,1.1
758,Kevon Looney,15.7,1.0,18,18,36,1113,151,321,22,53,92,147,122,51,46,32,45,104,416,.470,.415,.626,30.9,11.6,9.2,1.4
759,Montrezl Harrell,18.5,3.0,19,21,112,2961,533,910,11,40,217,407,294,102,91,118,145,214,1294,.586,.275,.533,26.4,11.6,6.9,0.9
760,Jordan Mickey,13.2,2.0,19,20,65,2197,363,701,1,14,186,278,176,76,50,218,179,155,913,.518,.071,.669,33.8,14.0,8.8,1.2
761,Anthony Brown,5.1,5.0,18,22,144,4200,518,1211,218,541,308,410,139,231,99,23,228,257,1562,.428,.403,.751,29.2,10.8,4.8,1.6
762,Rakeem Christmas,16.0,4.0,20,23,142,3126,409,731,0,1,228,335,280,86,77,247,162,375,1046,.560,.000,.681,22.0,7.4,5.3,0.6
763,Richaun Holmes,16.3,3.0,19,21,95,2518,403,728,30,85,253,363,250,62,75,244,143,233,1089,.554,.353,.697,26.5,11.5,6.9,0.7
764,Darrun Hilliard,7.7,4.0,18,21,132,3537,491,1125,209,569,320,428,71,248,176,47,206,274,1511,.436,.367,.748,26.8,11.4,3.0,1.9
765,Josh Richardson,10.6,4.0,18,21,136,3842,458,1005,98,308,238,314,116,246,147,88,209,301,1252,.456,.318,.758,28.3,9.2,3.2,1.8
766,Pat Connaughton,7.7,4.0,19,22,139,4484,515,1145,268,695,167,215,137,257,93,71,135,232,1465,.450,.386,.777,32.3,10.5,5.9,1.8
767,Joe Young,10.3,4.0,19,22,132,4333,778,1718,288,739,460,519,85,351,130,8,221,194,2304,.453,.390,.886,32.8,17.5,3.6,2.7
768,Andrew Harrison,8.4,2.0,19,20,79,2261,222,597,69,188,285,367,45,298,61,17,173,189,798,.372,.367,.777,28.6,10.1,2.7,3.8
769,Norman Powell,13.5,4.0,18,21,141,3555,503,1090,111,354,259,347,58,214,158,57,180,288,1376,.461,.314,.746,25.2,9.8,3.0,1.5
770,Branden Dawson,7.1,4.0,18,21,130,3456,566,1013,0,9,177,317,329,181,163,142,219,212,1309,.559,.000,.558,26.6,10.1,6.9,1.4
771,Brandon Ingram,8.0,1.0,18,18,36,1246,214,484,80,195,116,170,67,72,41,49,72,74,624,.442,.410,.682,34.6,17.3,6.8,2.0
772,Jaylen Brown,10.2,1.0,19,19,34,939,163,378,30,102,142,217,36,68,27,22,105,108,498,.431,.294,.654,27.6,14.6,5.4,2.0
773,Kris Dunn,7.9,4.0,18,21,95,2997,424,943,73,206,293,423,106,552,208,38,315,280,1214,.450,.354,.693,31.5,12.8,5.1,5.8
774,Buddy Hield,10.5,4.0,19,22,132,4182,783,1748,349,894,376,450,209,254,168,38,285,259,2291,.448,.390,.836,31.7,17.4,5.0,1.9
775,Jamal Murray,9.8,1.0,18,18,36,1267,244,538,113,277,119,152,53,79,35,11,84,75,720,.454,.408,.783,35.2,20.0,5.2,2.2
776,Marquese Chriss,9.9,1.0,18,18,34,848,179,338,21,60,89,130,85,26,32,55,69,138,468,.530,.350,.685,24.9,13.8,5.4,0.8
777,Jakob Poeltl,9.5,2.0,19,20,70,1885,356,541,0,1,219,361,194,93,33,119,129,165,931,.658,.000,.607,26.9,13.3,8.0,1.3
778,Domantas Sabonis,7.9,2.0,18,19,74,1971,384,608,5,14,229,314,192,97,39,43,151,219,1002,.632,.357,.729,26.6,13.5,9.4,1.3
779,Taurean Prince,10.2,4.0,18,21,129,2604,468,1017,130,346,255,355,202,145,121,63,221,271,1321,.460,.376,.718,20.2,10.2,4.2,1.1
780,Denzel Valentine,5.7,4.0,19,22,144,4182,579,1309,265,650,222,285,157,639,132,40,317,303,1645,.442,.408,.779,29.0,11.4,5.9,4.4
781,Wade Baldwin,7.1,2.0,18,19,68,2011,234,543,84,199,240,300,30,327,90,15,158,171,792,.431,.422,.800,29.6,11.6,4.1,4.8
782,Henry Ellenson,6.1,1.0,19,19,33,1107,194,435,30,104,143,191,71,59,28,49,78,84,561,.446,.288,.749,33.5,17.0,9.7,1.8
783,Malik Beasley,12.8,1.0,19,19,34,1014,185,393,55,142,104,128,44,51,32,6,59,75,529,.471,.387,.813,29.8,15.6,5.3,1.5
784,Caris LeVert,11.4,4.0,18,21,103,2721,366,843,134,334,204,265,39,275,97,22,136,151,1070,.434,.401,.770,26.4,10.4,3.5,2.7
785,DeAndre' Bembry,8.7,3.0,19,21,101,3645,580,1270,120,385,310,494,137,364,143,78,248,249,1590,.457,.312,.628,36.1,15.7,6.7,3.6
786,Malachi Richardson,17.1,1.0,20,20,37,1272,152,411,79,224,113,157,19,77,42,10,79,91,496,.370,.353,.720,34.4,13.4,4.3,2.1
787,Pascal Siakam,11.0,2.0,20,21,68,2224,440,799,3,17,241,339,243,103,62,136,131,180,1124,.551,.176,.711,32.7,16.5,9.7,1.5
788,Skal Labissiere,16.7,1.0,19,19,36,567,98,190,0,2,41,62,35,11,9,59,33,108,237,.516,.000,.661,15.8,6.6,3.1,0.3
789,Dejounte Murray,9.2,1.0,19,19,34,1139,202,486,34,118,110,166,48,151,62,10,110,90,548,.416,.288,.663,33.5,16.1,6.0,4.4
790,Damian Jones,-15.0,3.0,18,20,99,2684,508,897,1,8,296,524,207,71,37,167,197,301,1313,.566,.125,.565,27.1,13.3,6.4,0.7
791,Deyonta Davis,11.8,1.0,19,19,35,650,119,199,0,0,23,38,72,26,9,64,30,80,261,.598,,.605,18.6,7.5,5.5,0.7
792,Cheick Diallo,17.3,1.0,19,19,27,202,33,58,0,0,15,27,17,1,7,23,17,38,81,.569,,.556,7.5,3.0,2.5,0.0
793,Tyler Ulis,10.0,2.0,19,20,72,2170,259,607,88,237,209,247,35,381,88,6,107,120,815,.427,.371,.846,30.1,11.3,2.4,5.3
794,Malcolm Brogdon,14.2,4.0,19,23,136,4157,601,1399,185,507,422,482,82,335,117,31,207,250,1809,.430,.365,.876,30.6,13.3,4.1,2.5
795,Chinanu Onuaku,37.7,2.0,18,19,66,1385,182,294,0,1,47,86,160,70,50,104,109,175,411,.619,.000,.547,21.0,6.2,6.4,1.1
796,Patrick McCaw,6.3,2.0,19,20,65,2060,273,622,125,341,122,162,61,214,129,23,125,122,793,.439,.367,.753,31.7,12.2,4.2,3.3
797,Diamond Stone,-2.8,1.0,18,18,35,807,167,294,0,0,102,134,77,15,18,55,53,80,436,.568,,.761,23.1,12.5,5.4,0.4
798,Stephen Zimmerman,17.2,1.0,19,19,26,680,102,214,5,17,63,101,56,22,14,51,54,79,272,.477,.294,.624,26.2,10.5,8.7,0.8
799,Isaiah Whitehead,6.4,2.0,19,20,56,1710,285,760,117,326,196,259,40,251,70,63,192,131,883,.375,.359,.757,30.5,15.8,3.7,4.5
800,Demetrius Jackson,31.5,3.0,19,21,103,3242,415,888,133,349,241,308,90,335,114,23,170,197,1204,.467,.381,.782,31.5,11.7,3.1,3.3
801,A.J. Hammons,9.8,4.0,20,23,132,3201,613,1138,6,23,361,523,314,104,50,343,271,325,1593,.539,.261,.690,24.3,12.1,7.0,0.8
802,Jake Layman,7.6,4.0,18,21,141,3938,482,1083,198,547,274,361,159,156,123,113,204,272,1436,.445,.362,.759,27.9,10.2,4.8,1.1
803,Michael Gbinije,-2.3,4.0,19,23,120,3061,409,900,159,410,200,313,101,310,154,31,194,257,1177,.454,.388,.639,25.5,9.8,3.1,2.6
804,Georges Niang,-4.2,4.0,19,22,138,4110,849,1697,188,502,342,448,162,421,92,67,318,422,2228,.500,.375,.763,29.8,16.1,5.2,3.1
805,Joel Bolomboy,22.8,4.0,19,22,130,3743,492,931,36,97,464,651,412,93,72,178,260,304,1484,.528,.371,.713,28.8,11.4,10.1,0.7
806,Kay Felder,13.7,3.0,18,20,101,3626,554,1300,143,415,514,625,67,788,164,19,350,287,1765,.426,.345,.822,35.9,17.5,4.3,7.8
