,name,per,no_of_seasons,start_age,end_age,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
410,Marcus Williams,10.4,2.0,19,20,63,1939,355,748,53,149,164,231,,128,,,,,927,.475,.356,.710,30.8,14.7,5.6,2.0
411,Nick Fazekas,19.6,4.0,18,21,131,3944,901,1695,116,340,546,670,,170,98,192,,,2464,.532,.341,.815,30.1,18.8,9.6,1.3
412,Glen Davis,12.4,3.0,19,21,95,3036,566,1142,26,84,429,618,,147,108,110,,,1587,.496,.310,.694,32.0,16.7,9.6,1.5
413,Jermareo Davidson,10.5,4.0,19,22,126,3611,474,1016,4,19,316,441,,127,68,221,,,1268,.467,.211,.717,28.7,10.1,7.3,1.0
414,Josh McRoberts,13.2,2.0,18,19,69,2047,279,517,10,36,174,262,,167,80,128,,,742,.540,.278,.664,29.7,10.8,6.5,2.4
415,Chris Richard,7.5,4.0,19,22,141,2203,286,430,0,0,125,198,,49,48,59,,,697,.665,,.631,15.6,4.9,3.2,0.3
416,Derrick Byars,14.9,4.0,18,22,126,,496,1071,198,499,194,278,,275,119,22,,,1384,.463,.397,.698,,11.0,3.7,2.2
417,Stephane Lasme,11.7,4.0,21,24,118,2861,378,635,0,0,255,410,,103,88,399,,,1011,.595,,.622,24.2,8.6,6.4,0.9
418,Dominic McGuire,9.8,3.0,18,21,86,2153,284,615,24,95,153,275,,172,55,167,,,745,.462,.253,.556,25.0,8.7,6.3,2.0
419,Aaron Gray,11.5,4.0,19,22,113,2360,434,789,0,0,241,405,,147,41,130,,,1109,.550,,.595,20.9,9.8,7.0,1.3
420,JamesOn Curry,-,3.0,19,21,101,,472,1081,197,488,222,293,,356,99,24,,,1363,.437,.404,.758,,13.5,2.9,3.5
421,Taurean Green,7.0,3.0,18,20,111,3236,317,791,186,478,354,413,,400,124,7,,,1174,.401,.389,.857,29.2,10.6,2.2,3.6
422,Demetris Nichols,0.7,4.0,19,22,123,3171,471,1113,205,573,197,262,,132,120,94,,,1344,.423,.358,.752,25.8,10.9,4.1,1.1
423,Ramon Sessions,16.0,3.0,18,20,97,2835,306,734,25,80,213,288,,478,113,14,,,850,.417,.313,.740,29.2,8.8,4.2,4.9
424,D.J. Strawberry,6.2,4.0,18,21,111,2991,398,864,70,212,260,406,,317,202,47,,,1126,.461,.330,.640,26.9,10.1,3.3,2.9
425,Derrick Rose,18.1,1.0,19,19,40,1168,208,436,35,104,146,205,,189,48,15,107,,597,.477,.337,.712,29.2,14.9,4.5,4.7
426,Michael Beasley,15.2,1.0,19,19,33,1041,307,577,36,95,216,279,,38,42,54,95,,866,.532,.379,.774,31.5,26.2,12.4,1.2
427,O.J. Mayo,13.4,1.0,20,20,33,1216,237,536,88,215,122,152,,109,51,13,117,,684,.442,.409,.803,36.8,20.7,4.5,3.3
428,Russell Westbrook,23.4,2.0,18,19,75,1643,230,496,35,99,124,181,,191,77,8,96,,619,.464,.354,.685,21.9,8.3,2.4,2.5
429,Kevin Love,22.0,1.0,19,19,39,1156,227,406,29,82,198,258,,75,27,56,78,,681,.559,.354,.767,29.6,17.5,10.6,1.9
430,Eric Gordon,15.0,1.0,19,19,32,1110,184,425,70,208,231,277,,78,42,20,115,,669,.433,.337,.834,34.7,20.9,3.3,2.4
431,Joe Alexander,9.9,3.0,19,21,82,2072,367,821,51,173,205,268,,160,49,99,80,,990,.447,.295,.765,25.3,12.1,4.8,2.0
432,D.J. Augustin,14.1,2.0,19,20,73,2662,396,894,119,296,323,400,,452,100,3,105,,1234,.443,.402,.808,36.5,16.9,2.9,6.2
433,Brook Lopez,21.0,2.0,18,19,53,1485,324,675,3,21,198,259,,57,27,101,58,,849,.480,.143,.764,28.0,16.0,7.1,1.1
434,Jerryd Bayless,12.8,1.0,19,19,30,1072,173,378,59,145,187,223,,121,29,3,89,,592,.458,.407,.839,35.7,19.7,2.7,4.0
435,Jason Thompson,13.5,4.0,18,21,122,3922,759,1443,30,103,492,738,,246,104,235,99,,2040,.526,.291,.667,32.1,16.7,9.6,2.0
436,Brandon Rush,10.2,3.0,20,22,109,3408,536,1193,205,471,200,273,,222,76,89,69,,1477,.449,.435,.733,31.3,13.6,5.5,2.0
437,Anthony Randolph,16.5,1.0,18,18,31,1016,183,394,2,19,115,166,,38,35,70,92,,483,.464,.105,.693,32.8,15.6,8.5,1.2
438,Robin Lopez,16.6,2.0,18,19,67,1626,236,462,1,2,128,209,,51,23,156,63,,601,.511,.500,.612,24.3,9.0,5.6,0.8
439,Marreese Speights,17.1,2.0,19,20,69,1063,273,431,0,0,110,160,,36,23,64,62,,656,.633,,.688,15.4,9.5,5.4,0.5
440,Roy Hibbert,15.5,4.0,18,21,136,3169,573,950,3,3,327,481,,176,55,259,57,,1476,.603,1.000,.680,23.3,10.9,5.9,1.3
441,JaVale McGee,18.4,2.0,19,20,66,1232,234,432,16,45,90,175,,23,32,122,80,,574,.542,.356,.514,18.7,8.7,4.8,0.3
