,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
178,University of Arizona,13,2001,79.25,Richard Jefferson,103.0,223,84.0
179,University of Notre Dame,14,2001,81.75,Troy Murphy,105.5,230,83.0
180,DePaul University,15,2001,82.25,Steven Hunter,108.0,224,88.0
181,Indiana University,16,2001,80.0,Kirk Haston,106.0,242,84.25
182,Villanova University,17,2001,81.5,Michael Bradley,107.0,227,85.5
183,Stanford University,18,2001,82.25,Jason Collins,110.0,251,88.5
184,Michigan State University,19,2001,,Zach Randolph,,,
185,University of North Carolina,20,2001,83.75,Brendan Haywood,113.5,266,90.5
186,University of North Carolina,21,2001,75.5,Joseph Forte,100.5,193,78.5
187,Southern Methodist University,22,2001,77.5,Jeryl Sasser,103.5,194,82.5
188,Pepperdine University,23,2001,75.5,Brandon Armstrong,99.5,188,81.5
189,University of Alabama,25,2001,,Gerald Wallace,,,
190,Seton Hall University,26,2001,,Samuel Dalembert,,,
191,Iowa State University,27,2001,72.75,Jamaal Tinsley,97.5,199,79.5
192,Austin Peay State University,29,2001,76.25,Trenton Hassell,99.5,205,80.0
193,University of Arizona,30,2001,74.25,Gilbert Arenas,99.5,199,81.5
194,St. John's University,31,2001,71.5,Omar Cook,92.0,189,77.5
195,Clemson University,32,2001,71.75,Will Solomon,99.5,172,81.5
196,University of Maryland,33,2001,,Terence Morris,,,
197,University of Southern California,34,2001,80.75,Brian Scalabrine,105.5,241,81.75
198,University of Southern California,35,2001,,Jeff Trepagnier,,,
199,Syracuse University,36,2001,80.25,Damone Brown,104.5,202,83.75
200,"University of California, Los Angeles",39,2001,72.0,Earl Watson,97.0,184,78.75
201,Auburn University,40,2001,74.5,Jamison Brewer,102.5,178,80.75
202,DePaul University,41,2001,78.25,Bobby Simmons,105.0,235,84.25
203,University of California,44,2001,77.5,Sean Lampley,101.0,213,81.25
204,University of Arizona,45,2001,84.75,Loren Woods,113.0,246,89.5
205,Ohio State University,48,2001,82.75,Ken Johnson,109.5,227,88.0
206,Georgetown University,49,2001,83.5,Ruben Boumtje-Boumtje,111.0,245,88.0
207,University of Houston,50,2001,80.25,Alton Ford,102.5,271,82.5
208,Stanford University,52,2001,81.25,Jarron Collins,104.0,252,87.0
209,University of Cincinnati,53,2001,73.0,Kenny Satterfield,98.0,176,76.5
