,college,draft_rank,draft_year,height_in,name,reach_in,weight_lb,wingspan_in
803,University of Kentucky,7,2016,,Jamal Murray,98.5,204,79.0
804,University of Washington,8,2016,,Marquesse Chriss,,,
805,University of Utah,9,2016,84.25,Jakob Poeltl,111.5,239,86.75
806,Gonzaga University,11,2016,,Domantas Sabonis,,238,82.5
807,Baylor University,12,2016,78.5,Taurean Prince,102.0,220,83.5
808,Michigan State University,14,2016,76.0,Denzel Valentine,102.0,210,82.75
809,Vanderbilt University,17,2016,74.5,Wade Baldwin,100.0,202,83.25
810,Marquette University,18,2016,82.0,Henry Ellenson,108.0,242,86.25
811,Florida State University,19,2016,75.5,Malik Beasley,100.5,190,79.0
812,University of Michigan,20,2016,77.75,Caris LeVert,101.0,191,82.0
813,Saint Joseph's University,21,2016,76.25,DeAndre Bembry,101.0,207,81.25
814,Syracuse University,22,2016,76.75,Malachi Richardson,101.5,200,84.0
815,University of North Carolina,25,2016,81.0,Brice Johnson,106.5,209,84.5
816,New Mexico State University,27,2016,80.25,Pascal Siakam,107.5,227,87.25
817,University of Kentucky,28,2016,82.5,Skal Labissiere,105.5,216,86.5
818,University of Washington,29,2016,,Dejounte Murray,,162,81.5
819,Vanderbilt University,30,2016,82.25,Damian Jones,107.0,244,87.75
820,Michigan State University,31,2016,81.25,Deyonta Davis,108.5,237,86.5
821,University of Kansas,33,2016,79.5,Cheick Diallo,107.5,219,88.5
822,University of Kentucky,34,2016,68.75,Tyler Ulis,88.5,149,74.0
823,University of Virginia,36,2016,75.75,Malcolm Brogdon,98.0,223,82.5
824,University of Louisville,37,2016,81.0,Chinanu Onuaku,108.5,245,86.75
825,"University of Nevada, Las Vegas",38,2016,77.25,Patrick McCaw,100.5,181,82.0
826,University of Maryland,40,2016,81.0,Diamond Stone,108.5,254,86.75
827,"University of Nevada, Las Vegas",41,2016,82.25,Stephen Zimmerman,108.5,234,87.25
828,Seton Hall University,42,2016,75.25,Isaiah Whitehead,100.0,210,80.75
829,University of Notre Dame,45,2016,72.0,Demetrius Jackson,93.0,194,77.5
830,Purdue University,46,2016,,A.J. Hammons,,278,87.0
831,University of Maryland,47,2016,80.0,Jake Layman,102.0,209,81.25
832,Syracuse University,49,2016,77.5,Michael Gbinije,101.0,205,79.5
833,Iowa State University,50,2016,78.75,Georges Niang,103.0,231,82.0
834,Providence College,51,2016,79.25,Ben Bentil,105.0,229,85.5
835,Weber State University,52,2016,79.5,Joel Bolomboy,103.5,224,85.75
836,Oakland University,54,2016,68.25,Kay Felder,88.5,177,74.5
837,University of North Carolina,55,2016,72.5,Marcus Paige,97.0,164,78.25
838,University of Connecticut,56,2016,78.25,Daniel Hamilton,103.5,197,81.0
839,Iowa State University,58,2016,77.0,Abdel Nader,103.5,221,85.0
840,University of Oklahoma,59,2016,75.25,Isaiah Cousins,98.5,194,78.25
841,University of California,60,2016,,Tyrone Wallace,,198,81.5
